learner_idx,tutor_idx,score
16,28,4.707667378767459
16,11,0.7145331258586286
16,5,0.1508179986708745
16,19,0.3027583309808243
16,30,0.4856717852477124
16,22,0.4322632729830309
17,27,0.0320974292945094
17,9,0.5635385781899167
18,30,0.0614894976366148
18,3,2.6380158103149496
18,26,0.274025286079102
19,9,0.423861663373154
19,0,0.4138285475080434
19,23,0.7305893818652787
19,26,0.0501294218614018
20,8,1.9362152708982097
20,18,0.2476044902538325
20,10,0.1345349193322992
20,21,5.141611848864524
20,12,0.0872249536161907
20,1,1.363048042596032
20,7,0.3992590496791577
20,2,0.9394991404828532
20,19,0.1690133154060661
20,28,1.4360860232809105
21,26,0.0180362906640455
21,9,0.9722389099730572
21,16,0.0262791524581609
21,0,0.0963984820671113
21,3,0.0854508564007624
21,27,0.2161744476096725
21,23,0.1717150993867699
21,14,0.3071643583158721
21,1,0.1991088342113553
22,17,0.0789244018183804
22,15,0.1596580330167645
22,23,0.8048956788441898
22,26,0.0094682247739707
22,0,2.6511279493893825
23,26,0.4749981144926917
23,0,0.2895970445860255
23,3,0.2206646587420049
23,27,0.9403651272410164
23,14,0.5767075162032278
23,9,0.8887281079695223
23,18,1.7896786336287396
23,2,1.1098870924877429
24,6,0.2873544027572531
24,19,0.4716480306667373
24,29,2.2123792267976965
24,1,4.401102926180703
24,20,0.0864056046954706
25,20,1.1112273310225769
25,19,0.5579846751980593
25,22,0.4462603202968596
25,7,1.811342910450161
25,8,0.19197772394742
25,1,0.1389021058615306
25,12,0.3426913955154938
26,22,0.0779804391489742
26,11,0.0458021712957893
26,5,0.3397820227753398
26,2,0.2450328443446933
26,30,0.2027580853563043
26,1,0.0362265164183611
26,20,1.2002452009147395
26,10,0.5276569437379226
26,7,2.3590175523803127
26,28,0.2881009197455093
27,29,0.456511769770146
27,13,0.2489353418393197
27,6,0.1462815306056769
27,11,2.7598836081712275
27,3,0.6619939762260147
27,1,1.0744427734403124
28,30,3.898886758269805
28,21,1.3264760906108328
28,28,5.933702335763534
28,11,0.1150477090902766
28,19,0.3824308417963724
28,8,0.4664570787518753
28,25,0.7364370707752683
28,18,0.0628712266006672
28,12,0.0457890972218354
28,7,0.6090087745647572
29,10,0.3175757291083129
29,28,3.766002641542678
29,5,0.4883333001681865
29,21,1.7055623377987734
29,15,1.4032604775474269
29,30,1.1475068414748657
29,18,0.0941930975033788
30,28,0.7236397452400939
30,20,9.030082827932008
30,18,0.4462603202968596
30,1,0.2005176874456075
30,2,1.227215880816364
30,15,1.0780816912638298
30,22,0.3969696613853911
30,7,0.073834329190537
31,3,1.0549128390283502
31,27,0.1201094772262881
31,26,0.0312209271612309
31,16,1.817037473332754
31,14,0.0773191322746274
31,0,0.1101793261339771
31,9,0.7282676028565838
32,30,1.102170408931896
32,28,0.4684395836471798
32,20,1.7286055184730555
32,19,0.6511110668909154
32,25,2.3377584354341474
32,15,0.120387135302991
32,11,0.2736452818134808
32,12,0.0293674539823695
33,5,0.1344110254794995
33,8,0.2306931822549628
33,1,5.435340538222664
33,21,0.1625520348328437
33,15,3.2417217050075484
33,12,0.4516623555738439
33,11,3.190902039392396
33,2,5.9573463100940325
33,19,0.024618470322101
34,20,0.4041652336924675
34,10,0.1706647150383045
34,2,4.029698487164265
34,25,1.8719306182363995
34,5,0.8187307530779818
34,12,0.0722322811817945
34,8,1.6829513760328183
35,15,0.4723238303241822
35,10,5.524629950688653
35,1,0.3942585997900747
35,22,0.2626145034339104
35,12,0.0571836622780972
35,18,1.301964242128805
35,8,1.2805824644558073
35,20,1.3406400920712789
35,21,0.4729229853616639
36,25,0.0206088214432419
36,15,0.0146036977192474
36,21,0.2005176874456075
36,20,4.741236612362995
36,28,0.1836846423794728
36,2,0.1662047375435008
36,30,0.9592784764781634
36,10,3.6099713403457954
36,1,0.274025286079102
37,12,0.23716970568859
37,11,0.9956312897510255
37,2,1.2524389403404776
37,21,0.7512488615438391
37,19,0.5160605598010084
37,18,0.4749382211712458
37,22,0.0618264643297259
37,25,0.0788374573744829
37,8,0.1491515184980916
38,8,0.2421628547981386
38,28,0.188559840668863
38,15,0.0428482511768255
38,18,0.0203811019891831
38,12,0.4315765886759384
38,22,2.117356635666941
38,2,0.1720768934327061
38,1,2.933231097550159
38,5,0.4827995544667995
38,10,0.5213689847126236
39,3,0.1321774509842626
39,27,1.8112630129199505
39,14,0.5047412949866384
39,23,0.0281298227293112
39,26,0.5503893073191393
39,9,0.0277804211723061
39,16,0.5762018394910186
39,13,0.2809883444510781
40,12,1.4172278370664666
40,30,0.0943068399010009
40,7,0.0355224060590135
40,5,2.3075905164109285
40,22,0.0394258599790074
40,18,5.334251896985914
41,5,0.0346517040717501
41,21,7.272226472699591
41,19,0.7387523072688158
41,30,0.0639038330162685
41,18,0.1594654712948997
41,1,0.9123957232470912
41,7,0.1962069634098881
41,20,0.0518285643057639
41,15,0.5048854128098454
42,25,0.0729512455196984
42,8,0.971819451661282
42,19,0.3365902752065636
42,1,0.8048956788441898
42,15,1.9796365911004807
42,2,3.480984042973523
42,18,4.071768381161818
42,12,1.4670343087269009
42,20,0.3617662065302271
